iter	RMSE
0	7.342952098
1	7.340710778
2	7.339145189
3	7.336636515
4	7.334381367
5	7.332175238
6	7.330230395
7	7.327735449
8	7.326332809
9	7.323964362
10	7.321716289
11	7.319189523
12	7.316580268
13	7.314253182
14	7.312416228
15	7.310312932
16	7.308087992
17	7.306295753
18	7.304064343
19	7.302037554
20	7.299789002
21	7.297882618
22	7.295524145
23	7.293096405
24	7.290857807
25	7.289817384
26	7.287890382
27	7.286036213
28	7.283970255
29	7.281803958
30	7.279723586
31	7.277541222
32	7.27570918
33	7.273202801
34	7.271853787
35	7.270106529
36	7.267893329
37	7.265900329
38	7.264559672
39	7.263041669
40	7.26120589
41	7.259200671
42	7.257195492
43	7.255120465
44	7.253097737
45	7.251075729
46	7.248236787
47	7.246090845
48	7.244105604
49	7.241689838
50	7.239655552
51	7.23832893
52	7.23599211
53	7.23317223
54	7.230856909
55	7.228461052
56	7.226717382
57	7.225081441
58	7.222867885
59	7.220561827
60	7.219675997
61	7.21793281
62	7.215716108
63	7.214028585
64	7.212225907
65	7.209874556
66	7.207908777
67	7.20608142
68	7.204790102
69	7.203418534
70	7.202547261
71	7.201141669
72	7.19925345
73	7.19685699
74	7.194914146
75	7.193635321
76	7.191722996
77	7.189801352
78	7.187998136
79	7.186337217
80	7.184392344
81	7.182169273
82	7.180581386
83	7.179436925
84	7.17816395
85	7.176271714
86	7.174261902
87	7.172812139
88	7.171965984
89	7.170024902
90	7.167838104
91	7.166131732
92	7.164888266
93	7.163620438
94	7.161743853
95	7.159865044
96	7.158143237
97	7.156073669
98	7.154229722
99	7.152722969
100	7.150417557
101	7.148048684
102	7.145946664
103	7.144267115
104	7.142238792
105	7.141415219
106	7.139449265
107	7.137465093
108	7.135296678
109	7.133433856
110	7.132218011
111	7.130241462
112	7.128190412
113	7.126082837
114	7.124397511
115	7.122270003
116	7.12057635
117	7.118482248
118	7.116736396
119	7.115132527
120	7.113935017
121	7.112196281
122	7.110135705
123	7.10851431
124	7.107715156
125	7.10554843
126	7.103513965
127	7.101679634
128	7.100563762
129	7.098547497
130	7.096520475
131	7.094552381
132	7.092386882
133	7.090511681
134	7.0886923
135	7.086661833
136	7.084567321
137	7.083322093
138	7.081214082
139	7.079070519
140	7.07728479
141	7.075508474
142	7.074620144
143	7.073845046
144	7.073071402
145	7.071437601
146	7.069509335
147	7.067544331
148	7.065418564
149	7.063725436
150	7.062268577
151	7.060744375
152	7.058973847
153	7.058211427
154	7.056349456
155	7.054749132
156	7.052942652
157	7.051221901
158	7.049171563
159	7.047266599
160	7.045562619
161	7.043876255
162	7.04244773
163	7.04125273
164	7.03987021
165	7.037858038
166	7.036369822
167	7.034439816
168	7.032302245
169	7.03040076
170	7.029372754
171	7.027705672
172	7.02590398
173	7.02421405
174	7.023476586
175	7.021478003
176	7.019421558
177	7.017545615
178	7.015378767
179	7.013424554
180	7.011551125
181	7.009138497
182	7.007262939
183	7.005876357
184	7.00425818
185	7.002625576
186	7.000858612
187	6.998606758
188	6.996407713
189	6.994712963
190	6.992663451
191	6.990666205
192	6.988734655
193	6.987333443
194	6.985990989
195	6.983460498
196	6.981674676
197	6.980963394
198	6.979127931
199	6.977928596
200	6.975959559
201	6.97344139
202	6.972372195
203	6.970805079
204	6.968795106
205	6.967504772
206	6.965655799
207	6.963510096
208	6.961844461
209	6.959843136
210	6.958205722
211	6.956449929
212	6.954458723
213	6.952927454
214	6.950907687
215	6.949178623
216	6.947312914
217	6.945347054
218	6.943693792
219	6.941984674
220	6.940392104
221	6.938575249
222	6.93692719
223	6.93538062
224	6.934128545
225	6.932235776
226	6.930856745
227	6.929266658
228	6.927587429
229	6.925813635
230	6.924147072
231	6.92256044
232	6.920273672
233	6.919602
234	6.917879007
235	6.915892661
236	6.91422884
237	6.912685657
238	6.911334566
239	6.909374039
240	6.907943109
241	6.906527996
242	6.904765775
243	6.903147447
244	6.901727237
245	6.899991458
246	6.898073547
247	6.89670334
248	6.89528728
249	6.8946328
250	6.893193458
251	6.891500281
252	6.889728706
253	6.887966715
254	6.886302032
255	6.884720889
256	6.883677656
257	6.883031698
258	6.881316567
259	6.87958296
260	6.87768729
261	6.876380946
262	6.874988532
263	6.873303574
264	6.87176547
265	6.87039184
266	6.868518045
267	6.867424178
268	6.866422401
269	6.865387439
270	6.864204982
271	6.862313639
272	6.860825192
273	6.85930817
274	6.856930106
275	6.855446454
276	6.853627041
277	6.85210481
278	6.850320313
279	6.848682561
280	6.847073536
281	6.846005133
282	6.843644031
283	6.841446758
284	6.840752351
285	6.839659757
286	6.837970887
287	6.836524668
288	6.834968083
289	6.833317507
290	6.831740188
291	6.830193698
292	6.828590523
293	6.826607186
294	6.824651544
295	6.823336354
296	6.821598854
297	6.820576359
298	6.819972127
299	6.818264844
300	6.816784767
301	6.81618359
302	6.814435922
303	6.81226996
304	6.811347102
305	6.809642269
306	6.808692011
307	6.807051815
308	6.806009913
309	6.804567581
310	6.803119471
311	6.801726152
312	6.800149462
313	6.7978435
314	6.797040848
315	6.795458686
316	6.794872075
317	6.79355501
318	6.791877094
319	6.790482506
320	6.78897139
321	6.786912951
322	6.785521662
323	6.783812907
324	6.782510196
325	6.780329909
326	6.779752855
327	6.778631614
328	6.777016669
329	6.775681273
330	6.774451951
331	6.77367286
332	6.771887476
333	6.770694586
334	6.769254856
335	6.768187452
336	6.767305952
337	6.765920071
338	6.76445703
339	6.762537732
340	6.761109946
341	6.759526604
342	6.758140543
343	6.756762486
344	6.755380305
345	6.753232146
346	6.752356166
347	6.75098107
348	6.74949187
349	6.747782793
350	6.746681642
351	6.744922482
352	6.743198939
353	6.74190503
354	6.740338053
355	6.738699107
356	6.737219061
357	6.7356002
358	6.73421493
359	6.732621352
360	6.73103315
361	6.729635098
362	6.728520787
363	6.726650596
364	6.725279402
365	6.724433798
366	6.722708632
367	6.721590293
368	6.720171324
369	6.718643502
370	6.716889803
371	6.71553281
372	6.714374574
373	6.713255777
374	6.712202113
375	6.710982221
376	6.709792995
377	6.70831154
378	6.706405804
379	6.705009249
380	6.703516493
381	6.701803714
382	6.700283855
383	6.69944281
384	6.697853569
385	6.696783291
386	6.695308322
387	6.693863478
388	6.692373555
389	6.690747272
390	6.689472429
391	6.687363392
392	6.68604858
393	6.685494879
394	6.684263947
395	6.68276777
396	6.681524128
397	6.680075657
398	6.678734071
399	6.677117786
400	6.675485393
